db,action,id,old_plu,new_plu,old_name,new_name
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,f6901c1b-5f32-4b48-a115-06d2588c48ac,9317616005475,9317616005475,AEGEAN SESAME SEEDS 250 GR,AEGEAN SESAME SEEDS 250 GR
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,895faae3-162d-47b4-86fe-a68d504e92ad,9317616006595,9317616006595,AEGEAN SLT MAC CASHEW MIX 425 G,AEGEAN SLT MAC CASHEW MIX 425 G
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,2eb38fc5-b201-4e92-9881-bf694d3f5931,9317616005086,9317616005086,AEGEAN SMOKED ALMONDS 375 GR,AEGEAN SMOKED ALMONDS 375 GR
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,6226230b-edaf-4114-9e60-f1a9506ce3bd,9317616005307,9317616005307,AEGEAR ST & SALTED PEANUTS 500 G,AEGEAR ST & SALTED PEANUTS 500 G
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,33499556-ee36-4f33-bc6b-5ac1243baa0d,9315054005354,9315054005354,ALMONDS SLIVERED 100G,ALMONDS SLIVERED 100G
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,efccb4de-42d7-475c-9966-500c8be08e64,8683825023168,8683825023168,COLOURED SUGAR CHICKPEAS 350G,COLOURED SUGAR CHICKPEAS 350G
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,30bf51fb-8c44-4e0c-b920-460a1484aaf9,19321,19321,MACADAMIAS 1KG BAG,MACADAMIAS 1KG BAG
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,f802784f-7188-48c7-983b-7ff45c47c990,9315054009314,9315054009314,MARK GROC HONY MACADAMIAS 140G,MARK GROC HONY MACADAMIAS 140G
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,f4e43edb-061a-4223-9335-76efe8721251,9315054009468,9315054009468,MARK GROC PASTELLI 200 GR,MARK GROC PASTELLI 200 GR
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,a29c1cc0-6d19-4aa3-9e84-a619f8bfe74b,9315054005699,9315054005699,MARK GROC PINE NUTS 100 GR,MARK GROC PINE NUTS 100 GR
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,58fef629-2608-4879-b293-03f2a7af48d4,8683825023199,8683825023199,ROASTED CHICKPEAS  350G,ROASTED CHICKPEAS 350G
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,7231276f-2daa-43b1-a736-62ecefab5c27,9317616622306,9317616622306,SUNFLOWER KERBLS 500G,SUNFLOWER KERBLS 500G
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,7f531083-6b92-4418-859c-27de989ca69f,9341533002064,9341533002064,SUNFLOWER SEED R/SALTED 400G,SUNFLOWER SEED R/SALTED 400G
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,3bb9b771-a9cb-4ba9-a5b5-a2498dc9eaaa,6124,6124,WALNUTS 1KG,WALNUTS 1KG
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,p-open-btn-coffee,,52,Coffee,COFFEE
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,p-open-btn-meat,,73,Meat,MEAT
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,inserted,price-list-16,,16,,UBER EATS ADJUSTMENT
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,resolved_duplicate,p-kb-pg7-btn9,20219,500039605485950023,,
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,resolved_duplicate,p-kb-pg7-btn7,4017,500039605485950024,,
